the.table.of.results.traits,unlist.the.table.of.results.RR.BLUP.PA.,unlist.the.table.of.results.Multi.BLUP.PA.
Main_Head_Seed_Yield_Combined_MEAN,0.304120207,0.282241536
Main_Head_Seed_Yield_salina_MEAN,0.316222605,0.315583168
Plant_grain_yield_Salina_mean,0.225887057,0.225723216
Main_Head_Seed_Yield_Athens_MEAN,0.21734123,0.170518337
X1000_Seed_WT_lsmean_Combined,0.464984322,0.439694763
X1000_Seed_WT_Athens_lsmean,0.34066715,0.319040794
X1000_Seed_WT_Salina_lsmean,0.446428511,0.411405841
Main_Panicle_WT_Combined_Mean,0.256100423,0.249813261
Main_Panicle_WT_Athens_Mean,0.031018393,NA
Main_Panicle_WT_Salina_mean,0.231032778,0.210845613
